filename	event_labels
Y0LS5I8e5O58_30.000_40.000.wav	Cat
YOmgS8E_5N3U_280.000_290.000.wav	Frying,Speech
Y50nFjaSiorU_300.000_310.000.wav	Dishes,Speech
YBEKoXxt5Nd4_30.000_40.000.wav	Running_water
Yk31LUWNaTD8_60.000_70.000.wav	Running_water,Speech
Y-p8OnzI0K7E_30.000_40.000.wav	Cat
Y_3FPWINbQ4Y_30.000_40.000.wav	Blender,Dishes,Speech
YSz2hoCjpB_k_10.000_20.000.wav	Running_water
Y1ETeBLkMRwA_50.000_60.000.wav	Dog
YpFxuoxoYLT4_310.000_320.000.wav	Vacuum_cleaner
Y0OnPISPrITA_30.000_40.000.wav	Running_water
Y0p9ClF5DXNo_160.000_170.000.wav	Vacuum_cleaner
YP-zQhC7wl1Q_320.000_330.000.wav	Blender,Speech
Y9KKaefPobl4_40.000_50.000.wav	Running_water,Speech
YSblfvQcq4Oo_30.000_40.000.wav	Speech,Vacuum_cleaner
Y1J-SyJKJZa0_15.000_25.000.wav	Dog,Speech
Y_1hnunrX__k_210.000_220.000.wav	Dishes,Frying
YxKBqzU5gtms_150.000_160.000.wav	Blender,Speech
YWahqpHYfDzo_20.000_30.000.wav	Alarm_bell_ringing,Speech
Yo2bGnqO7oKU_40.000_50.000.wav	Running_water
YuKMaiQUl7nk_340.000_350.000.wav	Vacuum_cleaner
Y4ZxUf0scTSM_21.000_31.000.wav	Alarm_bell_ringing
YIn7pudrRmEQ_90.000_100.000.wav	Blender,Speech
Y7dXUa2pyKtI_140.000_150.000.wav	Vacuum_cleaner
Y2XVJ9Moth-I_0.000_10.000.wav	Blender,Speech
YT6lEn51WooQ_230.000_240.000.wav	Dishes,Frying,Speech
YiXMdwkj31QY_310.000_320.000.wav	Frying,Speech
Y1AZ1GiBsPoE_30.000_40.000.wav	Dog
YdIKNeu8eFPA_240.000_250.000.wav	Dishes,Frying,Speech
Y4sVuOCax7wI_30.000_40.000.wav	Cat
Yj17AFJlKSLs_590.000_600.000.wav	Speech
YMivqxr0RS8w_10.000_20.000.wav	Blender,Speech
Y-G2OMjRN67o_30.000_40.000.wav	Dog,Speech
Yoxi8662kK00_20.000_30.000.wav	Electric_shaver_toothbrush
YHZ89D3rNjkU_30.000_40.000.wav	Running_water,Speech
YB3SF9OfdNhY_30.000_40.000.wav	Dishes,Frying,Speech
Y1JTGDu02Rfk_10.000_20.000.wav	Running_water
YTgSk4HapHQg_10.000_20.000.wav	Alarm_bell_ringing
Y1w8XsAzgCg8_210.000_220.000.wav	Dishes,Speech
YS2HTsHrkZwM_40.000_50.000.wav	Speech,Vacuum_cleaner
