label	Accelerating, revving, vroom	Alarm_bell_ringing	Animal	Applause	Bark	Bell	Bicycle bell	Bicycle, tricycle	Bird	Bird vocalization, bird call, bird song	Blender	Boat, Water vehicle	Boiling	Breathing	Burping, eructation	Bus	Buzz	Camera	Car	Cat	Cheering	Chewing, mastication	Chicken, rooster	Chirp, tweet	Chuckle, chortle	Clapping	Clock	Coin (dropping)	Computer keyboard	Cough	Crackle	Cricket	Crow	Crowd	Crumpling, crinkling	Crushing	Crying, sobbing	Cupboard open or close	Dishes	Dog	Domestic animals, pets	Door	Drawer open or close	Drill	Drip	Electric_shaver_toothbrush	Engine	Engine starting	Explosion	Fart	Female singing	Fill (with liquid)	Finger snapping	Fire	Fireworks	Fixed-wing aircraft, airplane	Fowl	Frying	Gasp	Giggle	Glass	Glass chink, clink	Glass shatter	Growling	Gunshot, gunfire	Gurgling, bubbling	Hammer	Hands	Hiss	Human group actions	Human voice	Insect	Keys jangling	Knock	Laughter	Liquid	Male singing	Mechanical fan	Mechanisms	Meow	Microwave oven	Motor vehicle (road)	Music	Pour	Power tool	Printer	Purr	Rain	Rattle	Run	Running_water	Scissors	Screaming	Shout	Sigh	Singing	Siren	Slam	Sliding door	Sneeze	Speech	Speech synthesizer	Splash, splatter	Squeak	Subway, metro, underground	Tap	Telephone	Thump, thud	Thunderstorm	Tick	Tick-tock	Tools	Traffic noise, roadway noise	Trickle, dribble	Truck	Typewriter	Typing	Vacuum_cleaner	Vehicle	Vehicle horn, car horn, honking, toot	Walk, footsteps	Water	Waves, surf	Whispering	Whoosh, swoosh, swish	Wind	Writing
Accelerating, revving, vroom	0.0	0.000130890052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011402508551881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001644466370662	0.0001726817475392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002384358607534	0.0	0.0	0.0	0.0003027550711474	0.0	0.0	0.0	0.0	0.0	0.0	0.0025906735751295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021505376344086	0.0	0.0	0.0	0.0	0.0	0.0	0.0001077044589646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137931034482758	0.0	0.0006297229219143	0.0	0.0	0.0	0.0	0.0	0.0
Alarm_bell_ringing	0.09375	0.1345549738219895	0.0566037735849056	0.1363636363636363	0.0140795494544174	0.0766871165644171	0.25	0.1764705882352941	0.0222222222222222	0.0307867730900798	0.0	0.0	0.0	0.0592957746478873	0.027027027027027	0.2857142857142857	0.0	0.0	0.2647058823529412	0.0	0.1666666666666666	0.0	0.0	0.0495726495726495	0.0133333333333333	0.0414201183431952	0.1666666666666666	0.2058823529411764	0.225	0.0335365853658536	0.0	0.0689655172413793	0.0	0.1531531531531531	0.0112781954887218	0.0	0.0746268656716417	0.0	0.0003288932741325	0.0041443619409428	0.0	0.1625	0.0147058823529411	0.25	0.0081632653061224	0.0015455950540958	0.0909090909090909	0.4	0.1636363636363636	0.1	0.0319634703196347	0.0	0.0	0.2631578947368421	0.0	0.3636363636363636	0.0	0.003418353931107	0.0512333965844402	0.07429718875502	0.0	0.0023094688221709	0.1818181818181818	0.0009099181073703	0.1720430107526881	0.0106382978723404	0.0833333333333333	0.0232558139534883	0.0	0.25	0.052694325226514	0.0449438202247191	0.2482269503546099	0.0555555555555555	0.0272479564032697	0.0125523012552301	0.0493273542600896	0.0147058823529411	0.0739199515775138	0.0	0.0	0.0362694300518134	0.0693668528864059	0.0	0.0	0.2105263157894736	0.0	0.3333333333333333	0.0123456790123456	0.0833333333333333	0.0021516944593867	0.0	0.0287769784172661	0.0666666666666666	0.2	0.0704225352112676	0.2272727272727272	0.0757575757575757	0.1666666666666666	0.0121951219512195	0.0761111510016514	0.2638297872340425	0.0069444444444444	0.0344827586206896	0.1875	0.0416666666666666	0.1052631578947368	0.0687732342007435	0.3333333333333333	0.0621968962172647	0.0769230769230769	0.1276595744680851	0.0869565217391304	0.0210526315789473	0.1875	0.1428571428571428	0.25	0.0	0.0620689655172413	0.0519480519480519	0.1095717884130982	0.0119402985074626	0.1	0.0428134556574923	0.1515151515151515	0.0324203465623253	0.0
Animal	0.0	0.0013089005235602	0.050314465408805	0.0	0.0049278423090461	0.0	0.0	0.0	0.0666666666666666	0.0034207525655644	0.0	0.0	0.0	0.0019718309859154	0.0	0.0	0.0	0.0	0.0	0.0035087719298245	0.0	0.0	0.0	0.0017094017094017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001644466370662	0.0048350889310999	0.0357142857142857	0.0	0.0	0.0	0.0	0.0007727975270479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040160642570281	0.0	0.0	0.0	0.005459508644222	0.0	0.0	0.0	0.0	0.0	0.0	0.0011921793037672	0.0	0.0	0.0	0.0015137753557372	0.00418410041841	0.0	0.0	0.0016645229628508	0.0	0.0	0.0025906735751295	0.0004655493482309	0.0	0.0	0.0	0.0	0.0	0.0123456790123456	0.0	0.0013448090371167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017950743160766	0.0	0.0	0.0049261083743842	0.0	0.0014988009592326	0.0	0.0	0.0	0.0016973811833171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068965517241379	0.0	0.0006297229219143	0.0	0.0	0.0	0.0	0.004471771939631	0.2
Applause	0.0	0.000130890052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001726817475392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002384358607534	0.0	0.0	0.0	0.0003027550711474	0.0	0.0	0.0	7.566013467503972e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.180297264306742e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000121241513094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bark	0.0	0.0070680628272251	0.0628930817610062	0.0	0.1840901091165082	0.0766871165644171	0.0	0.0	0.0	0.0558722919042189	0.0	0.0	0.0	0.0154929577464788	0.0	0.0	0.0	0.0	0.0	0.0014035087719298	0.0	0.0	0.1875	0.0478632478632478	0.0066666666666666	0.029585798816568	0.0	0.0	0.0	0.0274390243902439	0.0	0.0	0.0	0.054054054054054	0.0037593984962406	0.125	0.0	0.0	0.0032889327413254	0.1184596788119495	0.0	0.0125	0.0	0.0	0.0040816326530612	0.0054095826893353	0.0	0.0	0.0	0.0	0.0821917808219178	0.0	0.0	0.0	0.0	0.0	0.0	0.0002629503023928	0.0208728652751423	0.0040160642570281	0.0	0.0069284064665127	0.0	0.1282984531392174	0.0	0.0106382978723404	0.0	0.1162790697674418	0.0	0.0	0.041726275631855	0.0561797752808988	0.0070921985815602	0.0185185185185185	0.0351195882531032	0.0	0.0313901345291479	0.0	0.0213361579783612	0.0034246575342465	0.0	0.0569948186528497	0.0272346368715083	0.0072289156626506	0.0	0.0	0.0	0.0	0.1975308641975308	0.0897435897435897	0.0029585798816568	0.0	0.0	0.0451612903225806	0.0	0.0	0.0	0.0	0.0	0.0	0.0268543117685072	0.0042553191489361	0.0	0.0	0.0	0.0155875299760191	0.0263157894736842	0.0260223048327137	0.0	0.023278370514064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089020771513353	0.0758620689655172	0.0	0.017632241813602	0.0134328358208955	0.0	0.0	0.101010101010101	0.1134712129681386	0.0
Bell	0.0	0.0028795811518324	0.0	0.0	0.0052798310454065	0.1134969325153374	0.0	0.0	0.0	0.0011402508551881	0.0	0.0	0.0	0.0014084507042253	0.0	0.0	0.0	0.0	0.0	0.0070175438596491	0.0	0.0072463768115942	0.0	0.0017094017094017	0.0133333333333333	0.0	0.0	0.0	0.0	0.0030487804878048	0.0	0.0	0.1176470588235294	0.0	0.0	0.0	0.0	0.0	0.0001644466370662	0.0058711794163356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090991810737033	0.0	0.0	0.0	0.0	0.0	0.0	0.0035765379113018	0.0	0.0	0.0	0.0045413260672116	0.0	0.0	0.0	0.0025724445789513	0.0	0.0	0.0	0.0027932960893854	0.0	0.0	0.0	0.0	0.0	0.0	0.0192307692307692	0.0002689618074233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024413010698642	0.0	0.0	0.0	0.0	0.0008992805755395	0.0	0.0	0.0	0.0025460717749757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006297229219143	0.0	0.0	0.0	0.0	0.0027948574622694	0.0
Bicycle bell	0.0	0.000130890052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059171597633136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002327746741154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.590148632153371e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bicycle, tricycle	0.0	0.000130890052356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001726817475392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021505376344086	0.0	0.0	0.0	0.0	0.0	0.0	7.180297264306742e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068965517241379	0.0	0.0006297229219143	0.0	0.0	0.0	0.0	0.0	0.0
Bird	0.0	0.000130890052356	0.0094339622641509	0.0	0.0	0.0	0.0	0.0	0.0	0.0011402508551881	0.0	0.0	0.0	0.000281690140845	0.0	0.0	0.0	0.0	0.0	0.0007017543859649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004933399111988	0.0001726817475392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00418410041841	0.0	0.0	7.566013467503972e-05	0.0	0.0	0.0025906735751295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002154089179292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014925373134328	0.0	0.0	0.0	0.0011179429849077	0.0
Bird vocalization, bird call, bird song	0.15625	0.0044502617801047	0.0283018867924528	0.0	0.0140795494544174	0.0030674846625766	0.0	0.0	0.1333333333333333	0.1687571265678449	0.009719222462203	0.0	0.0326797385620915	0.0078873239436619	0.0	0.0	0.25	0.0	0.0	0.0091228070175438	0.0	0.0	0.0625	0.0085470085470085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0804597701149425	0.0	0.0	0.0	0.125	0.0	0.0	0.0069067587567834	0.0174408565014677	0.0	0.021875	0.0	0.0	0.0	0.0038639876352395	0.0	0.0	0.0363636363636363	0.05	0.0	0.0	0.0	0.0	0.0	0.0454545454545454	0.1666666666666666	0.0026295030239284	0.0037950664136622	0.002008032128514	0.0	0.0023094688221709	0.0	0.0145586897179253	0.0	0.0	0.0	0.0	0.0	0.0	0.0104911778731521	0.0674157303370786	0.0567375886524822	0.0	0.0063578564940962	0.0	0.0	0.0	0.0071877127941287	0.0753424657534246	0.0	0.0284974093264248	0.0065176908752327	0.0120481927710843	0.0	0.0	0.0	0.0	0.0	0.0128205128205128	0.0061861215707369	0.0714285714285714	0.0	0.010752688172043	0.0	0.0	0.0	0.0	0.0	0.0	0.0081137359086666	0.0	0.0	0.0	0.0	0.0089928057553956	0.0	0.0	0.0	0.0093355965082444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0758620689655172	0.0	0.0100755667506297	0.0	0.0	0.0305810397553516	0.1111111111111111	0.0307434320849636	0.0
